"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1303","narrow_avg","4","rep66",0.57763671875,0.984101686963914,0.014141371561741,-0.938433843384339,0.885988598859886,NA,0.521164266080331,0.000251352553013105,"glm",0.6
"1323","narrow_avg","4","rep67",0.66455078125,0.973736327965749,0.00466785269130103,0.963597628279979,0.891458156206664,NA,0.605078711033839,0.0469421021341981,"glm",0.6
"1343","narrow_avg","4","rep68",0.65185546875,0.986114071629718,0.0458441744734539,0.938433843384339,0.885988598859886,NA,0.587806778539094,0.0060485761164553,"glm",0.6
"1363","narrow_avg","4","rep69",0.60888671875,0.985586202514542,0.0315994403242551,0.938433843384339,0.885988598859886,NA,0.556345412931184,0.00627804613599521,"glm",0.6
"1383","narrow_avg","4","rep70",0.650390625,0.98535296542695,0.0102108423760603,0.938433843384339,0.885988598859886,NA,0.649653978232515,0.0162922427700552,"glm",0.6
"1403","narrow_avg","4","rep71",0.690673828125,0.985154621568948,0.0399712559811049,0.938433843384339,0.885988598859886,NA,0.63613510130559,0.000590307031790431,"glm",0.6
"1423","narrow_avg","4","rep72",0.67626953125,0.986617244054437,0.116040529077992,-0.938433843384339,0.885988598859886,NA,0.632068193253087,0.00194733928148003,"glm",0.6
"1443","narrow_avg","4","rep73",0.591796875,0.986111774081921,0.0306978428951047,-0.938433843384339,0.885988598859886,NA,0.542630876137137,0.00489774953347275,"glm",0.6
"1463","narrow_avg","4","rep74",0.623046875,0.983743944965072,0.0348311518587425,0.938433843384339,0.885988598859886,NA,0.580400347350871,0.0125019269453319,"glm",0.6
"1483","narrow_avg","4","rep75",0.635498046875,0.984856080221359,-0.00435094520458353,0.938448660216226,0.886135197974549,NA,0.542170782132443,0.00388930028127178,"glm",0.6
"1503","narrow_avg","4","rep76",0.69189453125,0.977701399000169,0.0822957345694026,0.938433843384339,0.885988598859886,NA,0.667703899509137,0.029712728159889,"glm",0.6
"1523","narrow_avg","4","rep77",0.5986328125,0.98623549578472,-0.000279836948478883,-0.938433843384339,0.885988598859886,NA,0.527443431933538,0.00591048513868343,"glm",0.6
"1543","narrow_avg","4","rep78",0.652587890625,0.987737718567138,0.0649299480063287,-0.938433843384339,-0.885988598859886,NA,0.589676363211018,0.00156844062915412,"glm",0.6
"1563","narrow_avg","4","rep79",0.648193359375,0.982135224754967,0.0526719608692187,0.938433843384339,0.885988598859886,NA,0.614162100976961,0.000732272871703904,"glm",0.6
"1583","narrow_avg","4","rep80",0.663818359375,0.980588256431246,0.0749415588931883,0.938433843384339,0.885988598859886,NA,0.662727629541915,0.0183641412702235,"glm",0.6
"1603","narrow_avg","4","rep81",0.64111328125,0.980965447381585,0.0711927959815859,-0.938433843384339,0.885988598859886,NA,0.690682846109102,0.0163825718632813,"glm",0.6
"1623","narrow_avg","4","rep82",0.73681640625,0.983424558123333,0.169820546089213,0.938433843384339,0.885988598859886,NA,0.668353200667223,0.00144361195166915,"glm",0.6
"1643","narrow_avg","4","rep83",0.6943359375,0.983512157661795,0.112872640284737,0.938433843384339,0.885988598859886,NA,0.659140598691291,0.0030188083264192,"glm",0.6
"1663","narrow_avg","4","rep84",0.65966796875,0.98417481498551,0.0867102879681226,0.938433843384339,0.885988598859886,NA,0.588308604870939,0.00407865822223,"glm",0.6
"1683","narrow_avg","4","rep85",0.6123046875,0.986681586549622,0.0474109494632075,0.938433843384339,0.885988598859886,NA,0.565495411891471,0.00145234060139526,"glm",0.6
"1703","narrow_avg","4","rep86",0.55322265625,0.986171144940792,0.00397079774571369,0.938433843384339,0.885988598859886,NA,0.50829472165,0.00768975943685291,"glm",0.6
"1723","narrow_avg","4","rep87",0.496337890625,0.986579592107249,-0.00670025701210816,0.940879938901833,0.885988598859886,NA,0.475284537078557,0.022013012544947,"glm",0.6
"1743","narrow_avg","4","rep88",0.614501953125,0.984389656707817,0.0360894266747854,0.938433843384339,0.885988598859886,NA,0.565383195058102,0.00336635584168043,"glm",0.6
"1763","narrow_avg","4","rep89",0.650390625,0.983938046701156,0.0589129771716432,0.938433843384339,0.885988598859886,NA,0.640908578976899,0.0146501525888506,"glm",0.6
"1783","narrow_avg","4","rep90",0.777099609375,0.98378578516458,0.154669331232132,0.938433843384339,0.885988598859886,NA,0.77442136848602,0.000673354329698156,"glm",0.6
"1803","narrow_avg","4","rep91",0.595703125,0.982973303984841,0.0146547852778475,0.938433843384339,0.885988598859886,NA,0.578445810504899,0.0629513034195833,"glm",0.6
"1823","narrow_avg","4","rep92",0.638916015625,0.985401456196893,0.0621776676425441,0.938433843384339,0.885988598859886,NA,0.608212007177996,0.00225104902826526,"glm",0.6
"1843","narrow_avg","4","rep93",0.6103515625,0.985939259328684,0.0601209132009958,0.938433843384339,0.885988598859886,NA,0.563197489240408,0.000561133743594201,"glm",0.6
"1863","narrow_avg","4","rep94",0.69384765625,0.987355164631646,0.00730852955695081,0.939263735939675,0.885988598859886,NA,0.65428098671824,0.11091407818538,"glm",0.6
"1883","narrow_avg","4","rep95",0.680908203125,0.985560996369243,0.0865581519103634,-0.938433843384339,0.885988598859886,NA,0.616027837298519,0.000321364636301356,"glm",0.6
"1903","narrow_avg","4","rep96",0.707275390625,0.983962286817653,0.107596032830419,0.938433843384339,0.885988598859886,NA,0.662386795414361,0.00236845592179938,"glm",0.6
"1923","narrow_avg","4","rep97",0.733642578125,0.96376933241861,0.05840032438345,-0.938433843384339,0.882992937986471,NA,0.727350361696911,0.117572990023745,"glm",0.6
"1943","narrow_avg","4","rep98",0.70166015625,0.982108644293575,0.121995275877458,0.938433843384339,0.885988598859886,NA,0.706693051302471,0.00174051724974344,"glm",0.6
"1963","narrow_avg","4","rep99",0.745361328125,0.98406305024876,0.177335711131564,0.938433843384339,0.885988598859886,NA,0.731758619483367,0.000806296329758297,"glm",0.6
"1983","narrow_avg","4","rep100",0.6611328125,0.981308559931284,0.0216061076098749,0.938433843384339,0.88650173774408,NA,0.618151371910559,0.0601978639378206,"glm",0.6
"7","narrow_avg","8","rep1",0.630615234375,0.960886241436478,0.00884580203959054,0.906038816694009,-0.90102723218591,NA,0.588980959571736,0.0753378756661333,"glm",1.6
"27","narrow_avg","8","rep2",0.804931640625,0.939894262343587,0.180383755554883,0.94053629698026,0.932436345470161,NA,0.748591027180745,0.103439301116765,"glm",1.6
"47","narrow_avg","8","rep3",0.755615234375,0.944631222876588,0.0781863431201962,0.87732375420763,-0.467758775877588,NA,0.697004565227248,0.0568037770708485,"glm",1.6
"67","narrow_avg","8","rep4",0.750732421875,0.965490093766542,0.117949998152421,0.979771406461754,0.885988598859886,NA,0.676464903048657,0.0615311611041305,"glm",1.6
"87","narrow_avg","8","rep5",0.781494140625,0.94823493434721,0.164098108426124,0.929207373321081,0.997380730219701,NA,0.734668906465093,0.0975878443145593,"glm",1.6
"107","narrow_avg","8","rep6",0.59619140625,0.948402281177269,0.0325869725983314,0.977053455629353,0.97358381124192,NA,0.618853030562022,0.154146100774659,"glm",1.6
