"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1842","broad_ext","4","rep93",0.52392578125,0.987116916535939,-0.000164001726150846,0.871287128712871,0.979249924992499,NA,0.514725755460565,0.0187363033126912,"glm",0.6
"1862","broad_ext","4","rep94",0.69677734375,0.983469966967831,0.0737144723704385,-0.871287128712871,0.979249924992499,NA,0.637193370689827,0.00413983994361056,"glm",0.6
"1882","broad_ext","4","rep95",0.596923828125,0.984454222750912,0.0245548752842295,0.871287128712871,0.979249924992499,NA,0.607182969222118,0.0197696987276742,"glm",0.6
"1902","broad_ext","4","rep96",0.6982421875,0.985148170755064,0.0877387367262566,-0.871287128712871,0.979249924992499,NA,0.672476118833839,0.000335065267912129,"glm",0.6
"1922","broad_ext","4","rep97",0.686279296875,0.981559532473163,0.0601348440979812,-0.871287128712871,0.979249924992499,NA,0.602588799865428,0.00672413465908228,"glm",0.6
"1942","broad_ext","4","rep98",0.68994140625,0.981357327408662,0.0391945724215341,-0.871287128712871,0.979249924992499,NA,0.62686062739562,0.00367937904552077,"glm",0.6
"1962","broad_ext","4","rep99",0.671630859375,0.984747002886429,0.0307312514040465,-0.87072819001166,0.983909190499787,NA,0.654569624702727,0.0404549021586701,"glm",0.6
"1982","broad_ext","4","rep100",0.68017578125,0.983288437603783,0.0919283362761243,-0.871287128712871,0.979249924992499,NA,0.661785764689847,0.00424872358562011,"glm",0.6
"6","broad_ext","8","rep1",0.69384765625,0.961092263009649,0.0903169538322853,0.980882781794023,0.72016801680168,NA,0.626471555877422,0.0339576463646837,"glm",1.6
"26","broad_ext","8","rep2",0.5897216796875,0.970724167124917,-0.00079986623616475,0.96490522385909,0.945736080213415,NA,0.540179398665188,0.0434337294200919,"glm",1.6
"46","broad_ext","8","rep3",0.7109375,0.961427488957972,0.143856293135743,0.99217327650791,0.994059405940594,NA,0.615516069168715,0.00452543221516049,"glm",1.6
"66","broad_ext","8","rep4",0.588623046875,0.978203662787036,0.0107441242827818,0.914809328103288,0.999969996549597,NA,0.576946762978432,0.0674744439336814,"glm",1.6
"86","broad_ext","8","rep5",0.671875,0.968991566461782,0.0643214637244325,0.995535553555356,0.947840841830307,NA,0.663744808670456,0.0104074034993822,"glm",1.6
"106","broad_ext","8","rep6",0.673095703125,0.956704067047808,0.0314774704615157,0.978343352597419,0.919149097008517,NA,0.627809601039636,0.0820046694998036,"glm",1.6
