"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"855","narrow_avg","16","rep54","GLM",0.763916015625,0.914932720642666,0.0468217895371736,0.929207373321081,0.942958295829583,NA,0.68462821172997,0.130588091874794,3.84
"871","narrow_avg","16","rep55","GLM",0.886474609375,0.904031335978988,0.0695626690064389,0.959651028717557,0.787842784278428,NA,0.841803215454169,0.069763023408715,3.84
"887","narrow_avg","16","rep56","GLM",0.74462890625,0.912704630700393,0.0450000538159428,0.918052439694053,0.993619047650225,NA,0.644411336358283,0.183099941842447,3.84
"903","narrow_avg","16","rep57","GLM",0.8486328125,0.854762858281436,0.112742998218207,0.91984818318656,0.985289987640447,NA,0.796219305175567,0.101725058238387,3.84
"919","narrow_avg","16","rep58","GLM",0.789306640625,0.896310529936396,0.0724419307630664,0.948079052291477,0.971045627564379,NA,0.760356919962766,0.111139410507492,3.84
"935","narrow_avg","16","rep59","GLM",0.808349609375,0.880626632724304,0.0836446995456784,0.918804110258678,0.940590826305463,NA,0.76083574530047,0.225278340484356,3.84
"951","narrow_avg","16","rep60","GLM",0.839111328125,0.903389791073141,0.0734084606296796,0.937308776169073,0.969663048695321,NA,0.768196637281547,0.179307259581422,3.84
"967","narrow_avg","16","rep61","GLM",0.751708984375,0.90022991126517,0.053186667072127,0.946714064480193,0.986688721954221,NA,0.6519856584651,0.145828855679556,3.84
"983","narrow_avg","16","rep62","GLM",0.842529296875,0.880532524232997,0.0769909519589492,0.963125101192385,0.951723867147907,NA,0.759295901672198,0.10876139926123,3.84
"999","narrow_avg","16","rep63","GLM",0.786865234375,0.892261634124909,0.0715408267090664,0.938181971421091,0.951412075559593,NA,0.735869615065279,0.0237589542331397,3.84
